paramSetNum,N,kd,g0,g1,g2,g3,g0_b,g1_b,g2_b,g3_b,ha,hr,fa,fr,c_c,c_cr,c_o
116,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,100.0,1e-05,0.1,0.001
117,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,100.0,1e-05,0.1,1.0
118,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,10000.0,1e-05,1e-05,1e-05
119,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,10000.0,1e-05,1e-05,0.001
120,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,10000.0,1e-05,1e-05,1.0
121,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,10000.0,1e-05,0.001,1e-05
122,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,10000.0,1e-05,0.001,0.001
123,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,10000.0,1e-05,0.001,1.0
124,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,10000.0,1e-05,0.1,1e-05
125,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,10000.0,1e-05,0.1,0.001
126,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,10000.0,1e-05,0.1,1.0
127,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,1000000.0,1e-05,1e-05,1e-05
128,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,1000000.0,1e-05,1e-05,0.001
129,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,1000000.0,1e-05,1e-05,1.0
130,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,1000000.0,1e-05,0.001,1e-05
131,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,1000000.0,1e-05,0.001,0.001
132,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,1000000.0,1e-05,0.001,1.0
133,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,1000000.0,1e-05,0.1,1e-05
134,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,1000000.0,1e-05,0.1,0.001
135,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,100.0,1000000.0,1e-05,0.1,1.0
136,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,0.01,1e-05,1e-05,1e-05
137,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,0.01,1e-05,1e-05,0.001
138,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,0.01,1e-05,1e-05,1.0
139,25,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.01,0.01,10000.0,0.01,1e-05,0.001,1e-05
