paramSetNum,N,kd,g0,g1,g2,g3,g0_b,g1_b,g2_b,g3_b,ha,hr,fa,fr,c_c,c_cr,c_o
172,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,100000.0,0.1,1e-05,0.001,1.0
173,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,100000.0,0.1,1e-05,0.1,1e-05
174,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,100000.0,0.1,1e-05,0.1,1.0
175,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,100000.0,10.0,1e-05,1e-05,1e-05
176,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,100000.0,10.0,1e-05,1e-05,1.0
177,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,100000.0,10.0,1e-05,0.001,1e-05
178,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,100000.0,10.0,1e-05,0.001,1.0
179,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,100000.0,10.0,1e-05,0.1,1e-05
180,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,100000.0,10.0,1e-05,0.1,1.0
181,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,100000.0,1000.0,1e-05,1e-05,1e-05
182,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,100000.0,1000.0,1e-05,1e-05,1.0
183,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,100000.0,1000.0,1e-05,0.001,1e-05
184,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,100000.0,1000.0,1e-05,0.001,1.0
185,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,100000.0,1000.0,1e-05,0.1,1e-05
186,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,100000.0,1000.0,1e-05,0.1,1.0
187,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,100000.0,100000.0,1e-05,1e-05,1e-05
188,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,100000.0,100000.0,1e-05,1e-05,1.0
189,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,100000.0,100000.0,1e-05,0.001,1e-05
190,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,100000.0,100000.0,1e-05,0.001,1.0
191,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,100000.0,100000.0,1e-05,0.1,1e-05
192,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,10.0,100000.0,100000.0,1e-05,0.1,1.0
193,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,1000.0,0.1,0.1,1e-05,1e-05,1e-05
194,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,1000.0,0.1,0.1,1e-05,1e-05,1.0
195,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,1000.0,0.1,0.1,1e-05,0.001,1e-05
196,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,1000.0,0.1,0.1,1e-05,0.001,1.0
197,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,1000.0,0.1,0.1,1e-05,0.1,1e-05
198,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,1000.0,0.1,0.1,1e-05,0.1,1.0
199,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,0.1,1000.0,0.1,10.0,1e-05,1e-05,1e-05
