paramSetNum,N,kd,g0,g1,g2,g3,g0_b,g1_b,g2_b,g3_b,ha,hr,fa,fr
97,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,5.623413251903491,31622.776601683792
98,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,5.623413251903491,177827.94100389228
99,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,5.623413251903491,1000000.0
100,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,31.622776601683793,1.0
101,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,31.622776601683793,5.623413251903491
102,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,31.622776601683793,31.622776601683793
103,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,31.622776601683793,177.82794100389228
104,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,31.622776601683793,1000.0
105,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,31.622776601683793,5623.413251903491
106,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,31.622776601683793,31622.776601683792
107,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,31.622776601683793,177827.94100389228
108,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,31.622776601683793,1000000.0
109,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,177.82794100389228,1.0
110,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,177.82794100389228,5.623413251903491
111,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,177.82794100389228,31.622776601683793
112,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,177.82794100389228,177.82794100389228
113,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,177.82794100389228,1000.0
114,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,177.82794100389228,5623.413251903491
115,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,177.82794100389228,31622.776601683792
116,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,177.82794100389228,177827.94100389228
117,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,177.82794100389228,1000000.0
118,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,1000.0,1.0
119,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,1000.0,5.623413251903491
120,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,1000.0,31.622776601683793
121,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,1000.0,177.82794100389228
122,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,1000.0,1000.0
123,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,1000.0,5623.413251903491
124,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,1000.0,31622.776601683792
125,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,1000.0,177827.94100389228
126,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,1000.0,1000000.0
127,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,5623.413251903491,1.0
128,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,5623.413251903491,5.623413251903491
129,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,5623.413251903491,31.622776601683793
130,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,5623.413251903491,177.82794100389228
131,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,5623.413251903491,1000.0
132,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,5623.413251903491,5623.413251903491
133,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,5623.413251903491,31622.776601683792
134,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,5623.413251903491,177827.94100389228
135,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,5623.413251903491,1000000.0
136,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,31622.776601683792,1.0
137,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,31622.776601683792,5.623413251903491
138,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,31622.776601683792,31.622776601683793
139,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,31622.776601683792,177.82794100389228
140,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,31622.776601683792,1000.0
141,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,31622.776601683792,5623.413251903491
142,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,31622.776601683792,31622.776601683792
143,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,31622.776601683792,177827.94100389228
144,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,31622.776601683792,1000000.0
145,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,177827.94100389228,1.0
146,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,177827.94100389228,5.623413251903491
147,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,177827.94100389228,31.622776601683793
148,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,177827.94100389228,177.82794100389228
149,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,177827.94100389228,1000.0
150,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,177827.94100389228,5623.413251903491
151,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,177827.94100389228,31622.776601683792
152,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,177827.94100389228,177827.94100389228
153,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,177827.94100389228,1000000.0
154,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,1000000.0,1.0
155,20,1,0.001,4.0,0.001,0.001,0.001,4.0,0.001,0.001,1.0,5.623413251903491,1000000.0,5.623413251903491
